distribution,sample_size,q_75,q_90,q_95,q_99
normal,5,1.2393614708927325,1.9510452266361853,2.524238933777182,3.949438365055014
normal,10,1.247807186019013,1.9483643785259015,2.510414474899129,3.9311809044968298
normal,15,1.2496204435074318,1.948176407357157,2.5193462838773004,3.9446336030948728
normal,20,1.242326942941089,1.942785539866172,2.5138531368104298,3.8886652712068335
normal,25,1.254288670413084,1.9439264928080093,2.5125774438915376,3.90435073570479
normal,30,1.244568018205193,1.9319354845037784,2.4958212094769343,3.8811645327852404
normal,40,1.2435670120770794,1.9454709837649802,2.5163682203324678,3.9414827234632233
normal,50,1.2480289684808525,1.943331248624729,2.510908405576282,3.9171339024925036
normal,75,1.249809935552289,1.9378396295228457,2.505370351848123,3.939002855733311
normal,100,1.2444884392298405,1.9350099648070995,2.500063515334301,3.8742801059530025
normal,150,1.2445984275633393,1.9365410246563024,2.5009798277345703,3.8218595952574983
normal,200,1.2480719217054883,1.9333317256778693,2.497940295233166,3.885218024899192
normal,300,1.2512822583295815,1.9413102906814688,2.5151267894642455,3.8978670999172453
normal,500,1.2482030940638964,1.9327063150416464,2.4806571979960657,3.837278243598641
normal,1000,1.2439767756409594,1.9273263829397707,2.492826721817948,3.857920018978076
uniform,5,1.239296331354083,1.9465361974715247,2.5347644348661835,3.9623692958720227
uniform,10,1.2528890995684399,1.946767528975753,2.517515681417676,3.941406384263875
uniform,15,1.2547289462853728,1.9422719396425254,2.518273057216637,3.90124056226893
uniform,20,1.2441230326747847,1.932331315823806,2.4943203676096815,3.8874614113229367
uniform,25,1.2438728228226754,1.9266580061574297,2.486020055434977,3.910930229145064
uniform,30,1.248998286390913,1.9331998689651424,2.4950126565411113,3.876336381392839
uniform,40,1.2471572842702834,1.9399630300527564,2.5017340483783577,3.8795399877897587
uniform,50,1.2513410562431648,1.9401527846284843,2.5029678262631934,3.8774017585023346
uniform,75,1.2483595530082425,1.9440659459248466,2.5079801299319744,3.8960109495882493
uniform,100,1.2453432286129456,1.9256497765869727,2.484506827993418,3.895230815760811
uniform,150,1.2485914757973262,1.9375674896833068,2.4774773368796863,3.86471594766821
uniform,200,1.2431612600543218,1.942285365052351,2.4905112311189144,3.8233161284242243
uniform,300,1.252605898427177,1.9468386561153472,2.5147948210212774,3.899526043116558
uniform,500,1.2543991669437418,1.9362465297889515,2.490123038647298,3.9164835640001114
uniform,1000,1.2469550967790042,1.9345687364731363,2.475686099477779,3.8902224319795446
exponential,5,1.2444498719540131,1.9473317519068292,2.5363629632174325,3.98935948460529
exponential,10,1.241645240835303,1.9404074450205258,2.507852221005272,3.918935547650399
exponential,15,1.2457765827307368,1.942999023080162,2.508343620834809,3.893379672205562
exponential,20,1.246598737147103,1.9358025745225578,2.5023329339585034,3.8649376472669843
exponential,25,1.2501217220832475,1.9426049701542039,2.521128116022525,3.9034328060155636
exponential,30,1.2550831336491832,1.9387424078078872,2.5043822278516235,3.900296010052276
exponential,40,1.2427108896591381,1.9331489042381227,2.4876307921314895,3.874855368865935
exponential,50,1.2423968402739227,1.92569765793169,2.493966834341178,3.8839655036862326
exponential,75,1.2406194595952371,1.9283663616878095,2.496539631224936,3.886085580295595
exponential,100,1.2468502653682414,1.9213803052501022,2.489303335173478,3.8336346947274107
exponential,150,1.249718042554143,1.9372169323306658,2.509390010135168,3.9014525081080764
exponential,200,1.243829371747914,1.9197045279966292,2.4944021696175565,3.858741447762822
exponential,300,1.2433532415770827,1.9294188304355662,2.4892325200904764,3.8887730363765396
exponential,500,1.2503599328646118,1.929745477817932,2.490286236802055,3.9142647176258496
exponential,1000,1.245062445022711,1.9329426868086674,2.485001208525561,3.8960304452749255
laplace,5,1.2423250281650797,1.9549001879688266,2.5368509209929537,3.908272068682136
laplace,10,1.2420439622695105,1.940287307931462,2.5126700702620486,3.9257696193022245
laplace,15,1.244473057647613,1.932776693711646,2.513327020340297,3.9422430168850515
laplace,20,1.2494345022853297,1.9421606513930063,2.508980382457082,3.9152220312792174
laplace,25,1.2509307832108423,1.9388985848243396,2.503479346126737,3.843476156652215
laplace,30,1.2546693422423356,1.9367374278104181,2.5121759428206163,3.8542866038358365
laplace,40,1.2505719753964097,1.9368887724019006,2.4858753034968606,3.8844618757641753
laplace,50,1.2480400680725978,1.928624274643547,2.484634663402443,3.897459615571789
laplace,75,1.2465279783172285,1.9241788941952664,2.49260417689563,3.8936048780115518
laplace,100,1.2475062343383279,1.930534535052779,2.484696341470542,3.833592408958909
laplace,150,1.2484371916903996,1.9213693695246412,2.4691390271831706,3.835380540662418
laplace,200,1.2476569359515395,1.9442263887027964,2.508618651227399,3.847427045250509
laplace,300,1.244005150534548,1.9345278998517077,2.4924916471046754,3.870533871420233
laplace,500,1.2483548687999217,1.9358350423807396,2.4882431375167884,3.897061328061131
laplace,1000,1.2470225675042457,1.9358218611285907,2.495430595172684,3.875460986804936
