distribution,sample_size,q_75,q_90,q_95,q_99
normal,1000,0.03195965434492033,0.038398686235157256,0.04264073621943248,0.051471132490443244
normal,5,0.422994039042059,0.5085746230277207,0.5626632559873815,0.6662083570335819
normal,10,0.30610591081340566,0.36934496295694574,0.4103513352684474,0.49077310588431233
normal,15,0.2526614046321075,0.3047518623138708,0.33758581876378074,0.4034737266516797
normal,20,0.21957833072232508,0.2642297194250566,0.2931088627099328,0.3532102002755238
normal,25,0.19727857317934602,0.23741748067577337,0.2639563105782329,0.3152386475915758
normal,30,0.18036471902509554,0.21706750404345232,0.24117552972466627,0.2886578911721225
normal,40,0.15703445229537477,0.1891310355226237,0.21081119259488995,0.2532096379794814
normal,50,0.14077516058779188,0.16942647979962525,0.18841623328723806,0.22470077354403326
normal,75,0.11516494957472184,0.13900353264070275,0.15436076115234465,0.18592650309233688
normal,100,0.10008509877131491,0.12036384403669859,0.13397797167002057,0.1609071268607163
normal,150,0.08216878699533128,0.09877115495030107,0.10982888818258306,0.13140726676561648
normal,200,0.07127779324414976,0.08565087486537541,0.09506910661220017,0.11378283979302194
normal,300,0.05827097285817609,0.0699027799244815,0.07771728885166312,0.09348273785196165
normal,500,0.04517079017615633,0.05424678011395577,0.06043222878829644,0.0723758898100157
uniform,1000,0.03203937088259303,0.03857179022108877,0.042914457901317656,0.051295226572608606
uniform,5,0.42314899007920054,0.5085281653688674,0.5627754965772811,0.6677792623308946
uniform,10,0.3062804505997549,0.3685431735579311,0.40831427969584566,0.4869666997665998
uniform,15,0.2522003581754913,0.3040748153790158,0.3376376226481561,0.4045337743695017
uniform,20,0.21993740472537182,0.2649617491337728,0.294420316093124,0.35198620715326123
uniform,25,0.19769802372814732,0.23824689285933842,0.2649908188507725,0.31673687705833525
uniform,30,0.18087793649042777,0.2172158513448633,0.2412078038862521,0.28989109233820815
uniform,40,0.15714741725765977,0.18951220902482224,0.21032599187070958,0.2535108642140842
uniform,50,0.1405940972158387,0.16939892065517,0.18828616830506958,0.22589184316195796
uniform,75,0.11568389249992932,0.13887848168998337,0.15443876921092908,0.18550333978441821
uniform,100,0.10035533436482472,0.12042789568587842,0.1334752126676904,0.160570537360423
uniform,150,0.08194344503986145,0.09863858629344327,0.10956049799233339,0.13134127787872693
uniform,200,0.07127900255391796,0.08562269888212103,0.09497831922650925,0.11464256344039338
uniform,300,0.058293749075551744,0.07001740953218577,0.07780038207983957,0.09297912318340969
uniform,500,0.04512902614816492,0.05438224421772068,0.060491372886373886,0.07239116900389558
